gender,NationalITy,PlaceofBirth,StageID,GradeID,SectionID,Topic,Semester,Relation,raisedhands,gender_num
M,KW,KuwaIT,HighSchool,G-12,A,English,F,Father,39,0
F,KW,KuwaIT,HighSchool,G-12,A,English,F,Father,55,1
F,KW,KuwaIT,HighSchool,G-11,A,Science,F,Mum,49,1
M,KW,KuwaIT,HighSchool,G-12,A,English,F,Mum,12,0
M,KW,KuwaIT,MiddleSchool,G-07,A,Math,F,Father,16,0
M,USA,USA,MiddleSchool,G-08,B,Math,F,Father,19,0
M,KW,KuwaIT,MiddleSchool,G-07,A,Math,F,Father,5,0
M,KW,KuwaIT,MiddleSchool,G-07,A,Math,F,Father,28,0
F,USA,USA,MiddleSchool,G-07,A,Math,F,Father,27,1
F,Jordan,Jordan,lowerlevel,G-05,A,English,F,Mum,21,1
M,KW,KuwaIT,HighSchool,G-10,A,IT,F,Father,50,0
M,venzuela,venzuela,HighSchool,G-10,A,IT,F,Mum,80,0
M,KW,KuwaIT,HighSchool,G-10,A,IT,F,Father,17,0
M,KW,KuwaIT,HighSchool,G-10,A,IT,F,Father,0,0
M,KW,KuwaIT,HighSchool,G-12,A,English,F,Father,13,0
F,KW,KuwaIT,HighSchool,G-12,A,English,F,Father,25,1
F,USA,USA,HighSchool,G-12,A,English,F,Mum,65,1
F,USA,USA,HighSchool,G-12,A,IT,F,Mum,70,1
M,Jordan,Jordan,MiddleSchool,G-07,A,IT,F,Father,39,0
M,Jordan,Jordan,MiddleSchool,G-07,A,IT,F,Father,22,0
M,KW,KuwaIT,MiddleSchool,G-07,A,IT,F,Father,29,0
M,KW,KuwaIT,MiddleSchool,G-07,A,Math,F,Father,11,0
F,KW,KuwaIT,MiddleSchool,G-07,A,English,F,Father,19,1
M,KW,KuwaIT,MiddleSchool,G-07,B,IT,F,Father,12,0
M,Jordan,Jordan,MiddleSchool,G-07,A,Quran,F,Mum,50,0
M,Iran,Iran,HighSchool,G-09,A,IT,F,Mum,15,0
M,KW,KuwaIT,HighSchool,G-09,A,IT,F,Father,20,0
M,KW,KuwaIT,HighSchool,G-11,A,Quran,F,Father,13,0
F,lebanon,lebanon,MiddleSchool,G-07,B,Math,F,Mum,80,1
M,KW,KuwaIT,MiddleSchool,G-07,A,Math,F,Father,8,0
M,KW,KuwaIT,lowerlevel,G-02,A,IT,F,Father,8,0
M,KW,KuwaIT,lowerlevel,G-02,B,IT,F,Father,7,0
M,KW,KuwaIT,lowerlevel,G-02,B,IT,F,Father,7,0
M,KW,KuwaIT,lowerlevel,G-02,B,IT,F,Father,50,0
M,KW,KuwaIT,lowerlevel,G-02,B,IT,F,Father,1,0
M,SaudiArabia,SaudiArabia,lowerlevel,G-02,B,IT,F,Father,70,0
M,KW,KuwaIT,lowerlevel,G-02,B,IT,F,Father,19,0
F,KW,KuwaIT,lowerlevel,G-02,B,IT,F,Father,3,1
M,KW,KuwaIT,lowerlevel,G-02,B,IT,F,Father,5,0
M,KW,KuwaIT,lowerlevel,G-02,B,IT,F,Father,4,0
M,KW,KuwaIT,lowerlevel,G-02,B,IT,F,Father,80,0
F,KW,KuwaIT,lowerlevel,G-02,B,IT,F,Father,50,1
M,USA,USA,lowerlevel,G-02,B,IT,F,Father,55,0
F,KW,KuwaIT,lowerlevel,G-02,B,IT,F,Father,80,1
F,KW,KuwaIT,lowerlevel,G-02,B,IT,F,Father,100,1
F,KW,KuwaIT,lowerlevel,G-02,C,IT,F,Father,14,1
F,KW,KuwaIT,lowerlevel,G-02,B,IT,F,Father,6,1
F,KW,KuwaIT,lowerlevel,G-02,C,IT,F,Father,10,1
M,KW,KuwaIT,lowerlevel,G-02,B,IT,F,Father,50,0
M,KW,KuwaIT,lowerlevel,G-02,B,IT,F,Father,50,0
F,KW,KuwaIT,lowerlevel,G-02,B,IT,F,Mum,70,1
F,KW,KuwaIT,lowerlevel,G-02,B,IT,F,Father,2,1
M,KW,KuwaIT,lowerlevel,G-02,B,IT,F,Father,1,0
M,KW,KuwaIT,lowerlevel,G-02,B,IT,F,Father,0,0
F,KW,KuwaIT,lowerlevel,G-02,B,IT,F,Father,0,1
F,KW,KuwaIT,lowerlevel,G-02,B,IT,F,Father,12,1
M,KW,KuwaIT,lowerlevel,G-02,B,IT,F,Father,70,0
M,SaudiArabia,SaudiArabia,lowerlevel,G-02,B,IT,F,Father,7,0
M,KW,KuwaIT,lowerlevel,G-02,B,IT,F,Father,90,0
F,Jordan,Jordan,lowerlevel,G-02,B,IT,F,Mum,70,1
M,KW,KuwaIT,lowerlevel,G-02,C,IT,F,Father,77,0
M,KW,KuwaIT,lowerlevel,G-02,B,IT,F,Father,2,0
M,KW,KuwaIT,lowerlevel,G-02,B,IT,F,Father,25,0
M,KW,KuwaIT,lowerlevel,G-02,B,IT,F,Father,11,0
M,KW,KuwaIT,lowerlevel,G-02,B,IT,F,Father,0,0
F,KW,KuwaIT,lowerlevel,G-02,C,IT,F,Mum,77,1
F,KW,KuwaIT,lowerlevel,G-02,C,IT,F,Mum,25,1
F,KW,KuwaIT,lowerlevel,G-02,C,IT,F,Mum,24,1
M,KW,KuwaIT,lowerlevel,G-02,C,IT,F,Father,60,0
M,KW,KuwaIT,lowerlevel,G-02,C,IT,F,Mum,21,0
M,KW,KuwaIT,lowerlevel,G-02,C,IT,F,Mum,0,0
F,KW,KuwaIT,lowerlevel,G-02,B,IT,F,Father,66,1
F,lebanon,lebanon,lowerlevel,G-02,B,IT,F,Father,70,1
M,KW,KuwaIT,lowerlevel,G-02,C,IT,F,Father,0,0
M,KW,KuwaIT,lowerlevel,G-02,B,IT,F,Father,12,0
F,Iran,Iran,lowerlevel,G-02,C,IT,F,Father,2,1
M,KW,KuwaIT,lowerlevel,G-02,B,IT,F,Father,55,0
M,KW,KuwaIT,lowerlevel,G-02,C,IT,F,Father,12,0
M,KW,KuwaIT,lowerlevel,G-02,B,IT,F,Father,70,0
F,KW,KuwaIT,lowerlevel,G-02,C,IT,F,Father,7,1
M,Jordan,Jordan,lowerlevel,G-02,C,IT,F,Father,80,0
M,KW,KuwaIT,lowerlevel,G-02,C,IT,S,Father,0,0
M,KW,KuwaIT,lowerlevel,G-02,A,IT,S,Father,12,0
M,KW,KuwaIT,MiddleSchool,G-07,A,Quran,S,Father,80,0
F,Egypt,Egypt,MiddleSchool,G-07,A,Quran,S,Mum,70,1
F,KW,USA,HighSchool,G-11,A,Quran,S,Mum,70,1
F,KW,USA,HighSchool,G-11,A,Quran,F,Mum,60,1
F,Jordan,Egypt,MiddleSchool,G-07,A,Quran,F,Mum,100,1
M,Jordan,USA,MiddleSchool,G-07,A,Quran,F,Mum,100,0
M,Tunis,Tunis,MiddleSchool,G-07,A,Quran,F,Father,10,0
M,Tunis,Tunis,MiddleSchool,G-07,A,Quran,S,Father,19,0
M,Tunis,Tunis,MiddleSchool,G-07,A,Quran,S,Father,10,0
M,KW,KuwaIT,MiddleSchool,G-07,A,Quran,S,Father,80,0
M,KW,KuwaIT,MiddleSchool,G-07,A,Quran,S,Father,10,0
M,Tunis,SaudiArabia,MiddleSchool,G-07,A,Quran,S,Father,70,0
F,lebanon,lebanon,MiddleSchool,G-07,A,Quran,S,Mum,100,1
F,lebanon,lebanon,MiddleSchool,G-07,A,Quran,S,Father,10,1
F,Jordan,Jordan,MiddleSchool,G-07,A,Quran,S,Father,60,1
F,Jordan,lebanon,MiddleSchool,G-07,A,Quran,S,Mum,100,1
M,SaudiArabia,SaudiArabia,HighSchool,G-11,A,Quran,S,Father,80,0
M,SaudiArabia,USA,HighSchool,G-11,A,Science,S,Father,23,0
F,SaudiArabia,USA,HighSchool,G-11,B,Science,S,Father,100,1
M,SaudiArabia,USA,HighSchool,G-11,B,Spanish,S,Father,10,0
M,SaudiArabia,USA,HighSchool,G-11,B,English,S,Father,70,0
M,SaudiArabia,USA,HighSchool,G-11,B,Math,S,Father,70,0
F,Tunis,USA,HighSchool,G-11,B,French,S,Father,70,1
M,Tunis,Tunis,HighSchool,G-11,B,Science,S,Father,70,0
M,Tunis,KuwaIT,MiddleSchool,G-07,B,Science,S,Father,22,0
F,KW,KuwaIT,MiddleSchool,G-07,B,Science,S,Father,62,1
F,Jordan,Jordan,MiddleSchool,G-07,B,Science,S,Mum,82,1
M,Jordan,Jordan,MiddleSchool,G-07,B,Science,S,Mum,72,0
F,Jordan,Jordan,lowerlevel,G-02,B,French,S,Mum,70,1
F,Jordan,USA,lowerlevel,G-02,B,French,S,Mum,60,1
M,Jordan,Jordan,lowerlevel,G-02,B,French,S,Mum,55,0
F,Morocco,Morocco,lowerlevel,G-02,B,French,S,Mum,72,1
M,KW,KuwaIT,lowerlevel,G-02,B,French,S,Mum,51,0
M,Tunis,Tunis,lowerlevel,G-02,B,French,S,Mum,80,0
M,KW,KuwaIT,lowerlevel,G-02,B,French,S,Mum,60,0
M,KW,KuwaIT,lowerlevel,G-02,B,French,S,Mum,30,0
M,KW,KuwaIT,lowerlevel,G-02,B,French,S,Father,40,0
M,KW,KuwaIT,lowerlevel,G-02,B,French,S,Mum,60,0
M,Iran,Iran,lowerlevel,G-02,B,French,S,Mum,20,0
M,Syria,Syria,lowerlevel,G-02,B,French,S,Mum,20,0
F,Jordan,Jordan,lowerlevel,G-02,B,French,S,Father,50,1
M,Iran,Iran,lowerlevel,G-02,B,French,S,Father,10,0
M,Tunis,Tunis,lowerlevel,G-02,B,French,S,Mum,60,0
F,USA,USA,lowerlevel,G-02,B,French,S,Mum,15,1
F,lebanon,lebanon,lowerlevel,G-02,B,French,S,Mum,80,1
M,lebanon,lebanon,lowerlevel,G-02,B,French,S,Mum,40,0
F,SaudiArabia,SaudiArabia,lowerlevel,G-02,B,French,S,Father,60,1
M,Jordan,Jordan,lowerlevel,G-02,B,French,S,Father,50,0
M,KW,KuwaIT,MiddleSchool,G-08,A,Arabic,S,Mum,85,0
F,lebanon,lebanon,MiddleSchool,G-08,A,Arabic,S,Father,25,1
M,lebanon,lebanon,MiddleSchool,G-08,A,Arabic,S,Mum,10,0
M,lebanon,Jordan,MiddleSchool,G-08,A,Arabic,S,Mum,87,0
M,KW,KuwaIT,MiddleSchool,G-08,A,Arabic,S,Mum,85,0
F,KW,KuwaIT,MiddleSchool,G-08,A,Arabic,S,Father,80,1
M,KW,KuwaIT,MiddleSchool,G-08,A,Arabic,S,Mum,75,0
F,KW,KuwaIT,MiddleSchool,G-08,A,Arabic,S,Father,85,1
M,KW,KuwaIT,MiddleSchool,G-08,A,Arabic,S,Father,23,0
M,KW,KuwaIT,MiddleSchool,G-08,A,Arabic,S,Father,15,0
M,KW,KuwaIT,MiddleSchool,G-08,A,Arabic,S,Mum,95,0
M,Morocco,Morocco,MiddleSchool,G-08,A,Arabic,S,Mum,81,0
M,Morocco,Morocco,MiddleSchool,G-08,A,Arabic,S,Mum,53,0
M,KW,KuwaIT,MiddleSchool,G-08,A,Arabic,S,Father,15,0
M,KW,KuwaIT,MiddleSchool,G-08,A,Arabic,S,Mum,92,0
M,KW,KuwaIT,MiddleSchool,G-08,A,Arabic,S,Mum,83,0
M,Morocco,Morocco,MiddleSchool,G-08,B,Arabic,S,Father,27,0
M,KW,KuwaIT,MiddleSchool,G-08,B,Arabic,S,Father,45,0
M,KW,KuwaIT,MiddleSchool,G-08,B,Arabic,S,Mum,15,0
F,lebanon,lebanon,MiddleSchool,G-08,A,Arabic,S,Mum,45,1
M,KW,KuwaIT,MiddleSchool,G-08,B,Arabic,S,Father,25,0
F,KW,KuwaIT,MiddleSchool,G-08,B,Arabic,S,Father,22,1
M,Jordan,Jordan,MiddleSchool,G-08,B,Arabic,S,Father,29,0
F,SaudiArabia,SaudiArabia,MiddleSchool,G-08,B,Arabic,S,Mum,72,1
M,KW,KuwaIT,MiddleSchool,G-08,B,Arabic,S,Father,67,0
M,KW,KuwaIT,MiddleSchool,G-08,C,Spanish,S,Father,17,0
M,Tunis,Tunis,MiddleSchool,G-08,C,Spanish,S,Mum,27,0
M,KW,KuwaIT,MiddleSchool,G-08,C,Spanish,S,Father,70,0
M,Jordan,SaudiArabia,MiddleSchool,G-08,C,Spanish,S,Mum,27,0
M,KW,KuwaIT,MiddleSchool,G-08,C,Spanish,S,Father,17,0
M,Tunis,Tunis,MiddleSchool,G-08,C,Spanish,S,Mum,87,0
M,Tunis,Tunis,MiddleSchool,G-08,C,Spanish,S,Father,7,0
M,KW,KuwaIT,MiddleSchool,G-08,C,Spanish,S,Father,17,0
M,KW,KuwaIT,MiddleSchool,G-08,C,Spanish,S,Father,5,0
M,Iran,Iran,MiddleSchool,G-08,C,Spanish,S,Mum,27,0
F,Jordan,KuwaIT,MiddleSchool,G-08,C,Spanish,S,Father,87,1
M,KW,KuwaIT,MiddleSchool,G-08,C,Spanish,S,Mum,96,0
M,KW,KuwaIT,MiddleSchool,G-08,C,Spanish,S,Mum,57,0
M,lebanon,lebanon,MiddleSchool,G-08,C,Spanish,S,Father,77,0
M,lebanon,lebanon,MiddleSchool,G-08,C,Spanish,S,Father,80,0
M,KW,KuwaIT,MiddleSchool,G-08,B,Spanish,S,Father,62,0
M,KW,KuwaIT,MiddleSchool,G-08,A,Spanish,S,Mum,72,0
M,KW,KuwaIT,MiddleSchool,G-08,B,Spanish,S,Mum,87,0
M,KW,KuwaIT,MiddleSchool,G-08,A,Spanish,S,Mum,72,0
M,KW,KuwaIT,MiddleSchool,G-08,B,Spanish,S,Father,2,0
M,KW,KuwaIT,MiddleSchool,G-08,A,Spanish,S,Father,5,0
M,KW,KuwaIT,HighSchool,G-11,B,Math,S,Mum,73,0
M,KW,KuwaIT,MiddleSchool,G-08,A,Spanish,S,Father,5,0
M,Iran,Iran,MiddleSchool,G-08,A,Spanish,S,Mum,51,0
M,Syria,Jordan,MiddleSchool,G-08,A,Spanish,S,Father,9,0
M,Syria,Syria,MiddleSchool,G-07,A,Quran,F,Father,19,0
F,Jordan,Jordan,MiddleSchool,G-07,B,Science,S,Mum,32,1
M,KW,KuwaIT,MiddleSchool,G-07,B,Science,S,Mum,32,0
M,KW,KuwaIT,MiddleSchool,G-07,B,Science,S,Father,12,0
M,Jordan,Jordan,MiddleSchool,G-07,B,Science,S,Father,52,0
M,KW,KuwaIT,MiddleSchool,G-07,B,Science,S,Father,72,0
F,KW,KuwaIT,MiddleSchool,G-07,B,Science,S,Mum,72,1
M,Egypt,Egypt,MiddleSchool,G-07,B,Science,S,Mum,92,0
M,KW,KuwaIT,MiddleSchool,G-07,B,Science,S,Mum,72,0
M,Egypt,Egypt,MiddleSchool,G-07,B,Science,S,Father,72,0
M,KW,KuwaIT,MiddleSchool,G-07,B,Science,S,Father,22,0
M,Egypt,KuwaIT,MiddleSchool,G-07,B,Science,S,Father,12,0
M,KW,KuwaIT,MiddleSchool,G-07,B,IT,S,Mum,70,0
F,KW,KuwaIT,MiddleSchool,G-06,A,IT,S,Father,50,1
F,KW,KuwaIT,MiddleSchool,G-06,A,Science,S,Father,80,1
F,KW,KuwaIT,MiddleSchool,G-06,A,Math,S,Father,87,1
F,KW,KuwaIT,MiddleSchool,G-06,A,Quran,S,Father,70,1
M,KW,KuwaIT,lowerlevel,G-04,A,IT,S,Father,65,0
M,KW,KuwaIT,lowerlevel,G-04,A,Math,S,Father,15,0
M,Egypt,Egypt,lowerlevel,G-04,A,English,S,Mum,19,0
F,KW,KuwaIT,lowerlevel,G-04,A,Science,S,Father,69,1
M,KW,KuwaIT,lowerlevel,G-04,A,Arabic,S,Father,39,0
M,KW,KuwaIT,lowerlevel,G-04,A,English,S,Father,59,0
M,KW,KuwaIT,lowerlevel,G-04,A,History,S,Father,10,0
F,KW,KuwaIT,lowerlevel,G-04,A,History,S,Mum,80,1
F,KW,KuwaIT,lowerlevel,G-04,A,History,S,Father,70,1
F,KW,KuwaIT,lowerlevel,G-04,A,History,S,Father,80,1
M,KW,KuwaIT,lowerlevel,G-04,A,English,S,Mum,69,0
M,KW,KuwaIT,lowerlevel,G-04,A,History,S,Father,10,0
M,KW,KuwaIT,lowerlevel,G-04,A,History,S,Father,61,0
F,KW,KuwaIT,lowerlevel,G-04,A,History,S,Mum,21,1
M,Egypt,Egypt,lowerlevel,G-04,A,Math,S,Mum,49,0
F,Jordan,Jordan,MiddleSchool,G-06,A,English,F,Mum,70,1
F,Jordan,Jordan,MiddleSchool,G-06,A,English,S,Mum,79,1
M,Jordan,Jordan,MiddleSchool,G-06,A,English,F,Father,19,0
M,Jordan,Jordan,MiddleSchool,G-06,A,English,S,Father,11,0
M,Jordan,Jordan,MiddleSchool,G-06,A,English,F,Father,10,0
M,Jordan,Jordan,MiddleSchool,G-06,A,English,S,Father,18,0
F,Jordan,Jordan,MiddleSchool,G-06,A,English,F,Mum,90,1
F,Jordan,Jordan,MiddleSchool,G-06,A,English,S,Mum,92,1
M,Jordan,Jordan,MiddleSchool,G-06,A,English,F,Father,42,0
M,Jordan,Jordan,MiddleSchool,G-06,A,English,S,Father,22,0
F,lebanon,lebanon,MiddleSchool,G-06,A,English,F,Mum,95,1
F,lebanon,lebanon,MiddleSchool,G-06,A,English,S,Mum,90,1
M,Palestine,Jordan,MiddleSchool,G-06,A,English,F,Mum,72,0
M,Palestine,Jordan,MiddleSchool,G-06,A,English,S,Mum,92,0
M,Palestine,Jordan,MiddleSchool,G-06,A,English,F,Mum,82,0
M,Palestine,Jordan,MiddleSchool,G-06,A,English,S,Mum,72,0
M,Iraq,Iraq,MiddleSchool,G-06,A,English,F,Mum,74,0
M,Iraq,Iraq,MiddleSchool,G-06,A,English,S,Mum,74,0
F,Jordan,Jordan,MiddleSchool,G-06,A,English,F,Mum,95,1
F,Jordan,Jordan,MiddleSchool,G-06,A,English,S,Mum,97,1
M,Jordan,Jordan,MiddleSchool,G-06,A,English,F,Father,40,0
M,Jordan,Jordan,MiddleSchool,G-06,A,English,S,Father,41,0
F,Jordan,Jordan,MiddleSchool,G-06,A,English,F,Mum,51,1
F,Jordan,Jordan,MiddleSchool,G-06,A,English,S,Mum,81,1
M,Palestine,Jordan,MiddleSchool,G-06,A,English,F,Mum,71,0
M,Palestine,Jordan,MiddleSchool,G-06,A,English,S,Mum,75,0
F,Jordan,Jordan,lowerlevel,G-04,A,Science,F,Father,49,1
F,Jordan,Jordan,lowerlevel,G-04,A,Science,S,Father,42,1
F,Palestine,Palestine,lowerlevel,G-04,A,Science,F,Mum,90,1
F,Palestine,Palestine,lowerlevel,G-04,A,Science,S,Mum,62,1
M,Iraq,Iraq,lowerlevel,G-04,A,Science,F,Father,90,0
M,Iraq,Iraq,lowerlevel,G-04,A,Science,S,Father,62,0
F,Jordan,Jordan,lowerlevel,G-04,A,Science,F,Mum,98,1
F,Jordan,Jordan,lowerlevel,G-04,A,Science,S,Mum,72,1
M,Jordan,Jordan,lowerlevel,G-04,A,Science,F,Father,18,0
M,Jordan,Jordan,lowerlevel,G-04,A,Science,S,Father,32,0
M,Jordan,Jordan,lowerlevel,G-04,A,Science,F,Father,10,0
M,Jordan,Jordan,lowerlevel,G-04,A,Science,S,Father,22,0
F,Jordan,Jordan,lowerlevel,G-04,B,Science,F,Mum,11,1
F,Jordan,Jordan,lowerlevel,G-04,B,Science,S,Mum,12,1
F,Jordan,Jordan,lowerlevel,G-04,B,Science,F,Father,15,1
F,Jordan,Jordan,lowerlevel,G-04,B,Science,S,Father,32,1
M,Jordan,Jordan,lowerlevel,G-04,B,Science,F,Mum,65,0
M,Jordan,Jordan,lowerlevel,G-04,B,Science,S,Mum,72,0
M,Palestine,Jordan,lowerlevel,G-04,B,Science,F,Mum,95,0
M,Palestine,Jordan,lowerlevel,G-04,B,Science,S,Mum,82,0
M,Jordan,Jordan,lowerlevel,G-04,B,Science,F,Father,25,0
M,Jordan,Jordan,lowerlevel,G-04,B,Science,S,Father,42,0
F,Jordan,Jordan,lowerlevel,G-04,B,Science,F,Mum,55,1
F,Jordan,Jordan,lowerlevel,G-04,B,Science,S,Mum,62,1
F,Jordan,lebanon,lowerlevel,G-04,B,Science,F,Mum,78,1
F,Jordan,lebanon,lowerlevel,G-04,B,Science,S,Mum,72,1
M,Jordan,Jordan,lowerlevel,G-02,A,French,F,Mum,60,0
M,Jordan,Jordan,lowerlevel,G-02,A,French,S,Mum,50,0
F,Jordan,Jordan,lowerlevel,G-02,A,French,F,Mum,60,1
F,Jordan,Jordan,lowerlevel,G-02,A,French,S,Mum,50,1
F,Jordan,Jordan,lowerlevel,G-02,A,French,F,Mum,60,1
F,Jordan,Jordan,lowerlevel,G-02,A,French,S,Mum,50,1
M,Jordan,Jordan,lowerlevel,G-02,A,French,F,Father,10,0
M,Jordan,Jordan,lowerlevel,G-02,A,French,S,Father,30,0
M,Syria,Syria,lowerlevel,G-02,A,French,F,Father,24,0
M,Syria,Syria,lowerlevel,G-02,A,French,S,Father,27,0
M,Jordan,Jordan,lowerlevel,G-02,A,French,F,Father,10,0
M,Jordan,Jordan,lowerlevel,G-02,A,French,S,Father,30,0
F,Jordan,Palestine,lowerlevel,G-02,A,French,F,Mum,80,1
F,Jordan,Palestine,lowerlevel,G-02,A,French,S,Mum,75,1
M,Jordan,Jordan,lowerlevel,G-02,A,French,F,Father,40,0
M,Jordan,Jordan,lowerlevel,G-02,A,French,S,Father,35,0
F,Jordan,Jordan,lowerlevel,G-02,A,French,F,Mum,10,1
F,Jordan,Jordan,lowerlevel,G-02,A,French,S,Mum,25,1
M,Lybia,Lybia,lowerlevel,G-02,A,French,F,Mum,10,0
M,Lybia,Lybia,lowerlevel,G-02,A,French,S,Mum,15,0
F,Palestine,Jordan,lowerlevel,G-02,A,French,F,Mum,70,1
F,Palestine,Jordan,lowerlevel,G-02,A,French,S,Mum,75,1
F,Palestine,Jordan,lowerlevel,G-02,B,French,F,Father,78,1
F,Palestine,Jordan,lowerlevel,G-02,B,French,S,Father,79,1
F,Iraq,Iraq,lowerlevel,G-02,B,French,F,Father,16,1
F,Iraq,Iraq,lowerlevel,G-02,B,French,S,Father,17,1
M,Jordan,Jordan,lowerlevel,G-02,B,French,F,Mum,40,0
M,Jordan,Jordan,lowerlevel,G-02,B,French,S,Mum,35,0
F,Jordan,Jordan,lowerlevel,G-02,B,French,F,Mum,14,1
F,Jordan,Jordan,lowerlevel,G-02,B,French,F,Mum,13,1
F,Jordan,Jordan,lowerlevel,G-02,B,French,S,Mum,24,1
F,Jordan,Jordan,lowerlevel,G-02,B,French,S,Mum,23,1
M,Lybia,Lybia,lowerlevel,G-02,B,French,F,Mum,20,0
M,Lybia,Lybia,lowerlevel,G-02,B,French,S,Mum,15,0
M,Egypt,Egypt,lowerlevel,G-02,B,French,F,Mum,5,0
M,Egypt,Egypt,lowerlevel,G-02,B,French,S,Mum,7,0
F,Jordan,Jordan,lowerlevel,G-02,B,French,F,Mum,10,1
F,Jordan,Jordan,lowerlevel,G-02,B,French,S,Mum,25,1
M,Jordan,Jordan,lowerlevel,G-02,B,French,F,Mum,30,0
M,Jordan,Jordan,lowerlevel,G-02,B,French,S,Mum,35,0
M,Jordan,Jordan,lowerlevel,G-02,B,French,F,Father,32,0
M,Jordan,Jordan,lowerlevel,G-02,B,French,S,Father,25,0
F,lebanon,lebanon,lowerlevel,G-02,B,French,F,Mum,72,1
F,lebanon,lebanon,lowerlevel,G-02,B,French,S,Mum,75,1
M,Jordan,Jordan,lowerlevel,G-02,A,Arabic,F,Father,20,0
M,Jordan,Jordan,lowerlevel,G-02,A,Arabic,S,Father,10,0
M,Palestine,Jordan,lowerlevel,G-02,A,Arabic,F,Father,90,0
M,Palestine,Jordan,lowerlevel,G-02,A,Arabic,S,Father,80,0
M,Iraq,Iraq,lowerlevel,G-02,A,Arabic,F,Father,80,0
M,Iraq,Iraq,lowerlevel,G-02,A,Arabic,S,Father,78,0
M,Jordan,Jordan,lowerlevel,G-02,A,Arabic,F,Father,10,0
