gender,NationalITy,PlaceofBirth,StageID,GradeID,SectionID,Topic,Semester,Relation,raisedhands
F,Jordan,Jordan,lowerlevel,G-05,A,English,F,Mum,21
M,KW,KuwaIT,HighSchool,G-10,A,IT,F,Father,50
M,venzuela,venzuela,HighSchool,G-10,A,IT,F,Mum,80
M,KW,KuwaIT,HighSchool,G-10,A,IT,F,Father,17
M,KW,KuwaIT,HighSchool,G-10,A,IT,F,Father,0
M,KW,KuwaIT,HighSchool,G-12,A,English,F,Father,13
F,KW,KuwaIT,HighSchool,G-12,A,English,F,Father,25
F,USA,USA,HighSchool,G-12,A,English,F,Mum,65
F,USA,USA,HighSchool,G-12,A,IT,F,Mum,70
M,Jordan,Jordan,MiddleSchool,G-07,A,IT,F,Father,39
M,Jordan,Jordan,MiddleSchool,G-07,A,IT,F,Father,22
M,KW,KuwaIT,MiddleSchool,G-07,A,IT,F,Father,29
M,KW,KuwaIT,MiddleSchool,G-07,A,Math,F,Father,11
F,KW,KuwaIT,MiddleSchool,G-07,A,English,F,Father,19
M,KW,KuwaIT,MiddleSchool,G-07,B,IT,F,Father,12
M,Jordan,Jordan,MiddleSchool,G-07,A,Quran,F,Mum,50
M,Iran,Iran,HighSchool,G-09,A,IT,F,Mum,15
M,KW,KuwaIT,HighSchool,G-09,A,IT,F,Father,20
M,KW,KuwaIT,HighSchool,G-11,A,Quran,F,Father,13
F,lebanon,lebanon,MiddleSchool,G-07,B,Math,F,Mum,80
M,KW,KuwaIT,MiddleSchool,G-07,A,Math,F,Father,8
M,KW,KuwaIT,lowerlevel,G-02,A,IT,F,Father,8
M,KW,KuwaIT,lowerlevel,G-02,B,IT,F,Father,7
M,KW,KuwaIT,lowerlevel,G-02,B,IT,F,Father,7
M,KW,KuwaIT,lowerlevel,G-02,B,IT,F,Father,50
M,KW,KuwaIT,lowerlevel,G-02,B,IT,F,Father,1
M,SaudiArabia,SaudiArabia,lowerlevel,G-02,B,IT,F,Father,70
M,KW,KuwaIT,lowerlevel,G-02,B,IT,F,Father,19
F,KW,KuwaIT,lowerlevel,G-02,B,IT,F,Father,3
M,KW,KuwaIT,lowerlevel,G-02,B,IT,F,Father,5
M,KW,KuwaIT,lowerlevel,G-02,B,IT,F,Father,4
M,KW,KuwaIT,lowerlevel,G-02,B,IT,F,Father,80
F,KW,KuwaIT,lowerlevel,G-02,B,IT,F,Father,50
M,USA,USA,lowerlevel,G-02,B,IT,F,Father,55
F,KW,KuwaIT,lowerlevel,G-02,B,IT,F,Father,80
F,KW,KuwaIT,lowerlevel,G-02,B,IT,F,Father,100
F,KW,KuwaIT,lowerlevel,G-02,C,IT,F,Father,14
F,KW,KuwaIT,lowerlevel,G-02,B,IT,F,Father,6
F,KW,KuwaIT,lowerlevel,G-02,C,IT,F,Father,10
M,KW,KuwaIT,lowerlevel,G-02,B,IT,F,Father,50
M,KW,KuwaIT,lowerlevel,G-02,B,IT,F,Father,50
F,KW,KuwaIT,lowerlevel,G-02,B,IT,F,Mum,70
F,KW,KuwaIT,lowerlevel,G-02,B,IT,F,Father,2
M,KW,KuwaIT,lowerlevel,G-02,B,IT,F,Father,1
M,KW,KuwaIT,lowerlevel,G-02,B,IT,F,Father,0
F,KW,KuwaIT,lowerlevel,G-02,B,IT,F,Father,0
F,KW,KuwaIT,lowerlevel,G-02,B,IT,F,Father,12
M,KW,KuwaIT,lowerlevel,G-02,B,IT,F,Father,70
M,SaudiArabia,SaudiArabia,lowerlevel,G-02,B,IT,F,Father,7
M,KW,KuwaIT,lowerlevel,G-02,B,IT,F,Father,90
F,Jordan,Jordan,lowerlevel,G-02,B,IT,F,Mum,70
M,KW,KuwaIT,lowerlevel,G-02,C,IT,F,Father,77
M,KW,KuwaIT,lowerlevel,G-02,B,IT,F,Father,2
M,KW,KuwaIT,lowerlevel,G-02,B,IT,F,Father,25
M,KW,KuwaIT,lowerlevel,G-02,B,IT,F,Father,11
M,KW,KuwaIT,lowerlevel,G-02,B,IT,F,Father,0
F,KW,KuwaIT,lowerlevel,G-02,C,IT,F,Mum,77
F,KW,KuwaIT,lowerlevel,G-02,C,IT,F,Mum,25
F,KW,KuwaIT,lowerlevel,G-02,C,IT,F,Mum,24
M,KW,KuwaIT,lowerlevel,G-02,C,IT,F,Father,60
M,KW,KuwaIT,lowerlevel,G-02,C,IT,F,Mum,21
M,KW,KuwaIT,lowerlevel,G-02,C,IT,F,Mum,0
F,KW,KuwaIT,lowerlevel,G-02,B,IT,F,Father,66
F,lebanon,lebanon,lowerlevel,G-02,B,IT,F,Father,70
M,KW,KuwaIT,lowerlevel,G-02,C,IT,F,Father,0
M,KW,KuwaIT,lowerlevel,G-02,B,IT,F,Father,12
F,Iran,Iran,lowerlevel,G-02,C,IT,F,Father,2
M,KW,KuwaIT,lowerlevel,G-02,B,IT,F,Father,55
M,KW,KuwaIT,lowerlevel,G-02,C,IT,F,Father,12
M,KW,KuwaIT,lowerlevel,G-02,B,IT,F,Father,70
F,KW,KuwaIT,lowerlevel,G-02,C,IT,F,Father,7
M,Jordan,Jordan,lowerlevel,G-02,C,IT,F,Father,80
M,KW,KuwaIT,lowerlevel,G-02,C,IT,S,Father,0
M,KW,KuwaIT,lowerlevel,G-02,A,IT,S,Father,12
M,KW,KuwaIT,MiddleSchool,G-07,A,Quran,S,Father,80
F,Egypt,Egypt,MiddleSchool,G-07,A,Quran,S,Mum,70
F,KW,USA,HighSchool,G-11,A,Quran,S,Mum,70
F,KW,USA,HighSchool,G-11,A,Quran,F,Mum,60
F,Jordan,Egypt,MiddleSchool,G-07,A,Quran,F,Mum,100
M,Jordan,USA,MiddleSchool,G-07,A,Quran,F,Mum,100
M,Tunis,Tunis,MiddleSchool,G-07,A,Quran,F,Father,10
M,Tunis,Tunis,MiddleSchool,G-07,A,Quran,S,Father,19
M,Tunis,Tunis,MiddleSchool,G-07,A,Quran,S,Father,10
M,KW,KuwaIT,MiddleSchool,G-07,A,Quran,S,Father,80
M,KW,KuwaIT,MiddleSchool,G-07,A,Quran,S,Father,10
M,Tunis,SaudiArabia,MiddleSchool,G-07,A,Quran,S,Father,70
F,lebanon,lebanon,MiddleSchool,G-07,A,Quran,S,Mum,100
F,lebanon,lebanon,MiddleSchool,G-07,A,Quran,S,Father,10
F,Jordan,Jordan,MiddleSchool,G-07,A,Quran,S,Father,60
F,Jordan,lebanon,MiddleSchool,G-07,A,Quran,S,Mum,100
M,SaudiArabia,SaudiArabia,HighSchool,G-11,A,Quran,S,Father,80
M,SaudiArabia,USA,HighSchool,G-11,A,Science,S,Father,23
F,SaudiArabia,USA,HighSchool,G-11,B,Science,S,Father,100
M,SaudiArabia,USA,HighSchool,G-11,B,Spanish,S,Father,10
M,SaudiArabia,USA,HighSchool,G-11,B,English,S,Father,70
M,SaudiArabia,USA,HighSchool,G-11,B,Math,S,Father,70
F,Tunis,USA,HighSchool,G-11,B,French,S,Father,70
M,Tunis,Tunis,HighSchool,G-11,B,Science,S,Father,70
M,Tunis,KuwaIT,MiddleSchool,G-07,B,Science,S,Father,22
F,KW,KuwaIT,MiddleSchool,G-07,B,Science,S,Father,62
F,Jordan,Jordan,MiddleSchool,G-07,B,Science,S,Mum,82
M,Jordan,Jordan,MiddleSchool,G-07,B,Science,S,Mum,72
F,Jordan,Jordan,lowerlevel,G-02,B,French,S,Mum,70
F,Jordan,USA,lowerlevel,G-02,B,French,S,Mum,60
M,Jordan,Jordan,lowerlevel,G-02,B,French,S,Mum,55
F,Morocco,Morocco,lowerlevel,G-02,B,French,S,Mum,72
M,KW,KuwaIT,lowerlevel,G-02,B,French,S,Mum,51
M,Tunis,Tunis,lowerlevel,G-02,B,French,S,Mum,80
M,KW,KuwaIT,lowerlevel,G-02,B,French,S,Mum,60
M,KW,KuwaIT,lowerlevel,G-02,B,French,S,Mum,30
M,KW,KuwaIT,lowerlevel,G-02,B,French,S,Father,40
M,KW,KuwaIT,lowerlevel,G-02,B,French,S,Mum,60
M,Iran,Iran,lowerlevel,G-02,B,French,S,Mum,20
M,Syria,Syria,lowerlevel,G-02,B,French,S,Mum,20
F,Jordan,Jordan,lowerlevel,G-02,B,French,S,Father,50
M,Iran,Iran,lowerlevel,G-02,B,French,S,Father,10
M,Tunis,Tunis,lowerlevel,G-02,B,French,S,Mum,60
F,USA,USA,lowerlevel,G-02,B,French,S,Mum,15
F,lebanon,lebanon,lowerlevel,G-02,B,French,S,Mum,80
M,lebanon,lebanon,lowerlevel,G-02,B,French,S,Mum,40
F,SaudiArabia,SaudiArabia,lowerlevel,G-02,B,French,S,Father,60
M,Jordan,Jordan,lowerlevel,G-02,B,French,S,Father,50
M,KW,KuwaIT,MiddleSchool,G-08,A,Arabic,S,Mum,85
F,lebanon,lebanon,MiddleSchool,G-08,A,Arabic,S,Father,25
M,lebanon,lebanon,MiddleSchool,G-08,A,Arabic,S,Mum,10
M,lebanon,Jordan,MiddleSchool,G-08,A,Arabic,S,Mum,87
M,KW,KuwaIT,MiddleSchool,G-08,A,Arabic,S,Mum,85
F,KW,KuwaIT,MiddleSchool,G-08,A,Arabic,S,Father,80
M,KW,KuwaIT,MiddleSchool,G-08,A,Arabic,S,Mum,75
F,KW,KuwaIT,MiddleSchool,G-08,A,Arabic,S,Father,85
M,KW,KuwaIT,MiddleSchool,G-08,A,Arabic,S,Father,23
M,KW,KuwaIT,MiddleSchool,G-08,A,Arabic,S,Father,15
M,KW,KuwaIT,MiddleSchool,G-08,A,Arabic,S,Mum,95
M,Morocco,Morocco,MiddleSchool,G-08,A,Arabic,S,Mum,81
M,Morocco,Morocco,MiddleSchool,G-08,A,Arabic,S,Mum,53
M,KW,KuwaIT,MiddleSchool,G-08,A,Arabic,S,Father,15
M,KW,KuwaIT,MiddleSchool,G-08,A,Arabic,S,Mum,92
M,KW,KuwaIT,MiddleSchool,G-08,A,Arabic,S,Mum,83
M,Morocco,Morocco,MiddleSchool,G-08,B,Arabic,S,Father,27
M,KW,KuwaIT,MiddleSchool,G-08,B,Arabic,S,Father,45
M,KW,KuwaIT,MiddleSchool,G-08,B,Arabic,S,Mum,15
F,lebanon,lebanon,MiddleSchool,G-08,A,Arabic,S,Mum,45
M,KW,KuwaIT,MiddleSchool,G-08,B,Arabic,S,Father,25
F,KW,KuwaIT,MiddleSchool,G-08,B,Arabic,S,Father,22
M,Jordan,Jordan,MiddleSchool,G-08,B,Arabic,S,Father,29
F,SaudiArabia,SaudiArabia,MiddleSchool,G-08,B,Arabic,S,Mum,72
M,KW,KuwaIT,MiddleSchool,G-08,B,Arabic,S,Father,67
M,KW,KuwaIT,MiddleSchool,G-08,C,Spanish,S,Father,17
M,Tunis,Tunis,MiddleSchool,G-08,C,Spanish,S,Mum,27
M,KW,KuwaIT,MiddleSchool,G-08,C,Spanish,S,Father,70
M,Jordan,SaudiArabia,MiddleSchool,G-08,C,Spanish,S,Mum,27
M,KW,KuwaIT,MiddleSchool,G-08,C,Spanish,S,Father,17
M,Tunis,Tunis,MiddleSchool,G-08,C,Spanish,S,Mum,87
M,Tunis,Tunis,MiddleSchool,G-08,C,Spanish,S,Father,7
M,KW,KuwaIT,MiddleSchool,G-08,C,Spanish,S,Father,17
M,KW,KuwaIT,MiddleSchool,G-08,C,Spanish,S,Father,5
M,Iran,Iran,MiddleSchool,G-08,C,Spanish,S,Mum,27
F,Jordan,KuwaIT,MiddleSchool,G-08,C,Spanish,S,Father,87
M,KW,KuwaIT,MiddleSchool,G-08,C,Spanish,S,Mum,96
M,KW,KuwaIT,MiddleSchool,G-08,C,Spanish,S,Mum,57
M,lebanon,lebanon,MiddleSchool,G-08,C,Spanish,S,Father,77
M,lebanon,lebanon,MiddleSchool,G-08,C,Spanish,S,Father,80
M,KW,KuwaIT,MiddleSchool,G-08,B,Spanish,S,Father,62
M,KW,KuwaIT,MiddleSchool,G-08,A,Spanish,S,Mum,72
M,KW,KuwaIT,MiddleSchool,G-08,B,Spanish,S,Mum,87
M,KW,KuwaIT,MiddleSchool,G-08,A,Spanish,S,Mum,72
M,KW,KuwaIT,MiddleSchool,G-08,B,Spanish,S,Father,2
M,KW,KuwaIT,MiddleSchool,G-08,A,Spanish,S,Father,5
M,KW,KuwaIT,HighSchool,G-11,B,Math,S,Mum,73
M,KW,KuwaIT,MiddleSchool,G-08,A,Spanish,S,Father,5
M,Iran,Iran,MiddleSchool,G-08,A,Spanish,S,Mum,51
M,Syria,Jordan,MiddleSchool,G-08,A,Spanish,S,Father,9
M,Syria,Syria,MiddleSchool,G-07,A,Quran,F,Father,19
F,Jordan,Jordan,MiddleSchool,G-07,B,Science,S,Mum,32
M,KW,KuwaIT,MiddleSchool,G-07,B,Science,S,Mum,32
M,KW,KuwaIT,MiddleSchool,G-07,B,Science,S,Father,12
M,Jordan,Jordan,MiddleSchool,G-07,B,Science,S,Father,52
M,KW,KuwaIT,MiddleSchool,G-07,B,Science,S,Father,72
F,KW,KuwaIT,MiddleSchool,G-07,B,Science,S,Mum,72
M,Egypt,Egypt,MiddleSchool,G-07,B,Science,S,Mum,92
M,KW,KuwaIT,MiddleSchool,G-07,B,Science,S,Mum,72
M,Egypt,Egypt,MiddleSchool,G-07,B,Science,S,Father,72
M,KW,KuwaIT,MiddleSchool,G-07,B,Science,S,Father,22
M,Egypt,KuwaIT,MiddleSchool,G-07,B,Science,S,Father,12
M,KW,KuwaIT,MiddleSchool,G-07,B,IT,S,Mum,70
F,KW,KuwaIT,MiddleSchool,G-06,A,IT,S,Father,50
F,KW,KuwaIT,MiddleSchool,G-06,A,Science,S,Father,80
F,KW,KuwaIT,MiddleSchool,G-06,A,Math,S,Father,87
F,KW,KuwaIT,MiddleSchool,G-06,A,Quran,S,Father,70
M,KW,KuwaIT,lowerlevel,G-04,A,IT,S,Father,65
M,KW,KuwaIT,lowerlevel,G-04,A,Math,S,Father,15
M,Egypt,Egypt,lowerlevel,G-04,A,English,S,Mum,19
F,KW,KuwaIT,lowerlevel,G-04,A,Science,S,Father,69
M,KW,KuwaIT,lowerlevel,G-04,A,Arabic,S,Father,39
M,KW,KuwaIT,lowerlevel,G-04,A,English,S,Father,59
M,KW,KuwaIT,lowerlevel,G-04,A,History,S,Father,10
F,KW,KuwaIT,lowerlevel,G-04,A,History,S,Mum,80
F,KW,KuwaIT,lowerlevel,G-04,A,History,S,Father,70
F,KW,KuwaIT,lowerlevel,G-04,A,History,S,Father,80
M,KW,KuwaIT,lowerlevel,G-04,A,English,S,Mum,69
M,KW,KuwaIT,lowerlevel,G-04,A,History,S,Father,10
M,KW,KuwaIT,lowerlevel,G-04,A,History,S,Father,61
F,KW,KuwaIT,lowerlevel,G-04,A,History,S,Mum,21
M,Egypt,Egypt,lowerlevel,G-04,A,Math,S,Mum,49
F,Jordan,Jordan,MiddleSchool,G-06,A,English,F,Mum,70
F,Jordan,Jordan,MiddleSchool,G-06,A,English,S,Mum,79
M,Jordan,Jordan,MiddleSchool,G-06,A,English,F,Father,19
M,Jordan,Jordan,MiddleSchool,G-06,A,English,S,Father,11
M,Jordan,Jordan,MiddleSchool,G-06,A,English,F,Father,10
M,Jordan,Jordan,MiddleSchool,G-06,A,English,S,Father,18
F,Jordan,Jordan,MiddleSchool,G-06,A,English,F,Mum,90
F,Jordan,Jordan,MiddleSchool,G-06,A,English,S,Mum,92
M,Jordan,Jordan,MiddleSchool,G-06,A,English,F,Father,42
M,Jordan,Jordan,MiddleSchool,G-06,A,English,S,Father,22
F,lebanon,lebanon,MiddleSchool,G-06,A,English,F,Mum,95
F,lebanon,lebanon,MiddleSchool,G-06,A,English,S,Mum,90
M,Palestine,Jordan,MiddleSchool,G-06,A,English,F,Mum,72
M,Palestine,Jordan,MiddleSchool,G-06,A,English,S,Mum,92
M,Palestine,Jordan,MiddleSchool,G-06,A,English,F,Mum,82
M,Palestine,Jordan,MiddleSchool,G-06,A,English,S,Mum,72
M,Iraq,Iraq,MiddleSchool,G-06,A,English,F,Mum,74
M,Iraq,Iraq,MiddleSchool,G-06,A,English,S,Mum,74
F,Jordan,Jordan,MiddleSchool,G-06,A,English,F,Mum,95
F,Jordan,Jordan,MiddleSchool,G-06,A,English,S,Mum,97
M,Jordan,Jordan,MiddleSchool,G-06,A,English,F,Father,40
M,Jordan,Jordan,MiddleSchool,G-06,A,English,S,Father,41
F,Jordan,Jordan,MiddleSchool,G-06,A,English,F,Mum,51
F,Jordan,Jordan,MiddleSchool,G-06,A,English,S,Mum,81
M,Palestine,Jordan,MiddleSchool,G-06,A,English,F,Mum,71
M,Palestine,Jordan,MiddleSchool,G-06,A,English,S,Mum,75
F,Jordan,Jordan,lowerlevel,G-04,A,Science,F,Father,49
F,Jordan,Jordan,lowerlevel,G-04,A,Science,S,Father,42
F,Palestine,Palestine,lowerlevel,G-04,A,Science,F,Mum,90
F,Palestine,Palestine,lowerlevel,G-04,A,Science,S,Mum,62
M,Iraq,Iraq,lowerlevel,G-04,A,Science,F,Father,90
M,Iraq,Iraq,lowerlevel,G-04,A,Science,S,Father,62
F,Jordan,Jordan,lowerlevel,G-04,A,Science,F,Mum,98
F,Jordan,Jordan,lowerlevel,G-04,A,Science,S,Mum,72
M,Jordan,Jordan,lowerlevel,G-04,A,Science,F,Father,18
M,Jordan,Jordan,lowerlevel,G-04,A,Science,S,Father,32
M,Jordan,Jordan,lowerlevel,G-04,A,Science,F,Father,10
M,Jordan,Jordan,lowerlevel,G-04,A,Science,S,Father,22
F,Jordan,Jordan,lowerlevel,G-04,B,Science,F,Mum,11
F,Jordan,Jordan,lowerlevel,G-04,B,Science,S,Mum,12
F,Jordan,Jordan,lowerlevel,G-04,B,Science,F,Father,15
F,Jordan,Jordan,lowerlevel,G-04,B,Science,S,Father,32
M,Jordan,Jordan,lowerlevel,G-04,B,Science,F,Mum,65
M,Jordan,Jordan,lowerlevel,G-04,B,Science,S,Mum,72
M,Palestine,Jordan,lowerlevel,G-04,B,Science,F,Mum,95
M,Palestine,Jordan,lowerlevel,G-04,B,Science,S,Mum,82
M,Jordan,Jordan,lowerlevel,G-04,B,Science,F,Father,25
M,Jordan,Jordan,lowerlevel,G-04,B,Science,S,Father,42
F,Jordan,Jordan,lowerlevel,G-04,B,Science,F,Mum,55
F,Jordan,Jordan,lowerlevel,G-04,B,Science,S,Mum,62
F,Jordan,lebanon,lowerlevel,G-04,B,Science,F,Mum,78
F,Jordan,lebanon,lowerlevel,G-04,B,Science,S,Mum,72
M,Jordan,Jordan,lowerlevel,G-02,A,French,F,Mum,60
M,Jordan,Jordan,lowerlevel,G-02,A,French,S,Mum,50
F,Jordan,Jordan,lowerlevel,G-02,A,French,F,Mum,60
F,Jordan,Jordan,lowerlevel,G-02,A,French,S,Mum,50
F,Jordan,Jordan,lowerlevel,G-02,A,French,F,Mum,60
F,Jordan,Jordan,lowerlevel,G-02,A,French,S,Mum,50
M,Jordan,Jordan,lowerlevel,G-02,A,French,F,Father,10
M,Jordan,Jordan,lowerlevel,G-02,A,French,S,Father,30
M,Syria,Syria,lowerlevel,G-02,A,French,F,Father,24
M,Syria,Syria,lowerlevel,G-02,A,French,S,Father,27
M,Jordan,Jordan,lowerlevel,G-02,A,French,F,Father,10
M,Jordan,Jordan,lowerlevel,G-02,A,French,S,Father,30
F,Jordan,Palestine,lowerlevel,G-02,A,French,F,Mum,80
F,Jordan,Palestine,lowerlevel,G-02,A,French,S,Mum,75
M,Jordan,Jordan,lowerlevel,G-02,A,French,F,Father,40
M,Jordan,Jordan,lowerlevel,G-02,A,French,S,Father,35
F,Jordan,Jordan,lowerlevel,G-02,A,French,F,Mum,10
F,Jordan,Jordan,lowerlevel,G-02,A,French,S,Mum,25
M,Lybia,Lybia,lowerlevel,G-02,A,French,F,Mum,10
M,Lybia,Lybia,lowerlevel,G-02,A,French,S,Mum,15
F,Palestine,Jordan,lowerlevel,G-02,A,French,F,Mum,70
F,Palestine,Jordan,lowerlevel,G-02,A,French,S,Mum,75
F,Palestine,Jordan,lowerlevel,G-02,B,French,F,Father,78
F,Palestine,Jordan,lowerlevel,G-02,B,French,S,Father,79
F,Iraq,Iraq,lowerlevel,G-02,B,French,F,Father,16
F,Iraq,Iraq,lowerlevel,G-02,B,French,S,Father,17
M,Jordan,Jordan,lowerlevel,G-02,B,French,F,Mum,40
M,Jordan,Jordan,lowerlevel,G-02,B,French,S,Mum,35
F,Jordan,Jordan,lowerlevel,G-02,B,French,F,Mum,14
F,Jordan,Jordan,lowerlevel,G-02,B,French,F,Mum,13
F,Jordan,Jordan,lowerlevel,G-02,B,French,S,Mum,24
F,Jordan,Jordan,lowerlevel,G-02,B,French,S,Mum,23
M,Lybia,Lybia,lowerlevel,G-02,B,French,F,Mum,20
M,Lybia,Lybia,lowerlevel,G-02,B,French,S,Mum,15
M,Egypt,Egypt,lowerlevel,G-02,B,French,F,Mum,5
M,Egypt,Egypt,lowerlevel,G-02,B,French,S,Mum,7
F,Jordan,Jordan,lowerlevel,G-02,B,French,F,Mum,10
F,Jordan,Jordan,lowerlevel,G-02,B,French,S,Mum,25
M,Jordan,Jordan,lowerlevel,G-02,B,French,F,Mum,30
M,Jordan,Jordan,lowerlevel,G-02,B,French,S,Mum,35
M,Jordan,Jordan,lowerlevel,G-02,B,French,F,Father,32
M,Jordan,Jordan,lowerlevel,G-02,B,French,S,Father,25
F,lebanon,lebanon,lowerlevel,G-02,B,French,F,Mum,72
F,lebanon,lebanon,lowerlevel,G-02,B,French,S,Mum,75
M,Jordan,Jordan,lowerlevel,G-02,A,Arabic,F,Father,20
M,Jordan,Jordan,lowerlevel,G-02,A,Arabic,S,Father,10
M,Palestine,Jordan,lowerlevel,G-02,A,Arabic,F,Father,90
M,Palestine,Jordan,lowerlevel,G-02,A,Arabic,S,Father,80
M,Iraq,Iraq,lowerlevel,G-02,A,Arabic,F,Father,80
M,Iraq,Iraq,lowerlevel,G-02,A,Arabic,S,Father,78
M,Jordan,Jordan,lowerlevel,G-02,A,Arabic,F,Father,10
M,Jordan,Jordan,lowerlevel,G-02,A,Arabic,S,Father,10
F,Palestine,Jordan,lowerlevel,G-02,A,Arabic,F,Mum,98
F,Palestine,Jordan,lowerlevel,G-02,A,Arabic,S,Mum,75
M,Jordan,Jordan,lowerlevel,G-02,A,Arabic,F,Father,10
M,Jordan,Jordan,lowerlevel,G-02,A,Arabic,S,Father,35
F,Jordan,Jordan,lowerlevel,G-02,A,Arabic,F,Father,10
F,Jordan,Jordan,lowerlevel,G-02,A,Arabic,S,Father,5
M,Jordan,Jordan,lowerlevel,G-02,B,Arabic,F,Father,10
M,Jordan,Jordan,lowerlevel,G-02,B,Arabic,S,Father,35
M,Jordan,Jordan,lowerlevel,G-02,B,Arabic,F,Mum,20
M,Jordan,Jordan,lowerlevel,G-02,B,Arabic,S,Mum,32
M,Jordan,Jordan,lowerlevel,G-02,B,Arabic,F,Father,10
M,Jordan,Jordan,lowerlevel,G-02,B,Arabic,S,Father,12
F,Jordan,Jordan,lowerlevel,G-02,B,Arabic,F,Father,11
F,Jordan,Jordan,lowerlevel,G-02,B,Arabic,S,Father,10
M,Iraq,Iraq,lowerlevel,G-02,B,Arabic,F,Mum,69
M,Iraq,Iraq,lowerlevel,G-02,B,Arabic,S,Mum,70
F,Iraq,Iraq,lowerlevel,G-02,B,Arabic,F,Mum,89
F,Iraq,Iraq,lowerlevel,G-02,B,Arabic,S,Mum,79
M,Jordan,Jordan,lowerlevel,G-02,B,Arabic,F,Mum,15
